Collection,Prix,Volumes,Date de sortie,Twitter,Nombre d'abonnés,Tweet 1 - Nombre de likes,Tweet 1 - Nombre de commentaires,Tweet 1 - Nombre de retweets,Tweet 2 - Nombre de likes,Tweet 2 - Nombre de commentaires,Tweet 2 - Nombre de retweets,Tweet 3 - Nombre de likes,Tweet 3 - Nombre de commentaires,Tweet 3 - Nombre de retweets,Tweet 4 - Nombre de likes,Tweet 4 - Nombre de commentaires,Tweet 4 - Nombre de retweets,Tweet 5 - Nombre de retweets,Tweet 5 - Nombre de likes,Tweet 5 - Nombre de commentaires
MetaSkulls,TBA,10000,06 Feb 2022 - 22:00,https://twitter.com/MetaSkullsNFT,8018,1,1,0,1,1,0,167,18,61,8,1,0,6,27,0
Doodle Duckies,0.06 ETH,9000,26 Jan 2022 - 19:00,https://twitter.com/DoodleDuckies_,11005,29,2,19,0,0,0,0,0,1,28,2,17,0,0,0
Wolf of Crypto,0.185 ETH,5000,29 Jan 2022 - 00:00,https://twitter.com/WolfofCryptoNFT,8035,50,11,31,14,2,10,43,16,27,25,2,16,16,25,4
Undead Ape Society,0.06 ETH,5000,29 Jan 2022 - 08:00,,,,,,,,,,,,,,,,,
Picassio Digital Art Club,33.0 ADA,3333,29 Jan 2022 - 12:00,https://twitter.com/PicassioArtNFT,3129,1,0,0,1,0,0,0,1,0,1,0,0,1,3,0
Ethereum Knights,0.06 ETH,8888,29 Jan 2022 - 12:00,,,,,,,,,,,,,,,,,
Mekas of Krupt (by TNR),0.1 ETH,500,29 Jan 2022 - 17:00,https://twitter.com/tnr_game,,,,,,,,,,,,,,,,
BlahBlahRats,0.066 ETH,6666,29 Jan 2022 - 21:00,https://twitter.com/blahblahratsnft?s=21,,,,,,,,,,,,,,,,
Tokyo Trees ,0.08 ETH,3333,30 Jan 2022 - 00:00,https://twitter.com/tokyotreeNFT,,,,,,,,,,,,,,,,
Brave Tigers NFT,0.2 ETH,10000,30 Jan 2022 - 00:00,https://twitter.com/bravetigersnft,,,,,,,,,,,,,,,,
Voiceverse Origins,0.1 ETH,8888,30 Jan 2022 - 02:00,https://twitter.com/VoiceverseNFT,27628,1,0,0,2,1,1,52,8,28,15,0,0,11,41,8
Cosmic Foxes,0.666 SOL,1666,30 Jan 2022 - 02:00,https://twitter.com/CosmicFoxesNFT,309,0,0,0,1,0,0,4,1,0,6,1,0,0,0,1
Busy Bees Club,0.04 ETH,3577,30 Jan 2022 - 12:00,https://twitter.com/BusyBeesClubNFT,6581,188,10,24,10,4,5,20,4,9,52,25,41,25,195,14
StellarKing NFTs,0.08 ETH,2000,30 Jan 2022 - 16:00,https://twitter.com/StellarKing_,2489,23,19,21,3,2,0,4,0,0,3,0,0,40,44,43
Crypto Alien Society,0.04 ETH,8888,30 Jan 2022 - 18:00,https://twitter.com/AlienzNFT,2664,50,11,1,17,1,0,37,6,27,30,2,21,1,4,2
Cosmic Condos,0.69 SOL,3333,30 Jan 2022 - 22:00,https://twitter.com/CosmicCondos,13552,30,8,6,50,10,19,91,22,46,52,4,16,32,83,14
ETH Harambe Club,0.04 ETH,5000,31 Jan 2022 - 09:00,https://twitter.com/harambenftclub,1378,4,1,0,8,0,1,13,2,3,10,5,1,5,7,0
Wildfire Bears,0.055 ETH,5555,31 Jan 2022 - 16:00,https://twitter.com/chillbears_nft,8065,1,1,0,8,5,1,0,0,0,0,0,0,2,3,3
Space Convicts,0.06 ETH,9999,31 Jan 2022 - 17:00,,,,,,,,,,,,,,,,,
Doodle Rooms NFT,0.02 ETH,9999,31 Jan 2022 - 18:00,,,,,,,,,,,,,,,,,
KOKODI,0.055 ETH,5555,31 Jan 2022 - 19:00,https://twitter.com/KOKODI_NFT,5636,11,0,6,13,2,5,5,0,0,54,25,43,8,30,3
Sneaky Slamberts,TBA,3483,31 Jan 2022 - 22:00,https://twitter.com/sneakyslamberts,,,,,,,,,,,,,,,,
Taco Tribe,20.0 MATIC,8226,01 Feb 2022 - 00:00,https://twitter.com/TacoTribeNFTs,5308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tembo Guardians,0.1 ETH,10000,02 Feb 2022 - 20:00,https://twitter.com/TemboGuardians,7833,43,3,18,26,6,18,11,3,7,40,7,20,9,13,6
Darkest Heroes,0.2 ETH,392,02 Feb 2022 - 20:00,https://twitter.com/DarkestHeroesIO,5367,2,0,0,1,0,0,0,0,0,13,4,1,11,21,8
PIGGY BANKERS,0.29 ETH,7777,02 Feb 2022 - 20:00,https://twitter.com/piggybankersNFT,17912,83,38,49,226,314,176,217,320,153,320,372,226,226,363,473
Women of Crypto,0.25 ETH,8888,02 Feb 2022 - 20:00,https://twitter.com/womenofcrypto_,35694,1560,1490,1587,2069,2073,2137,794,756,723,1706,1713,1765,347,597,242
Masonic Lizards,0.33 SOL,1100,02 Feb 2022 - 20:00,https://twitter.com/MasonicLizards,3086,8,0,7,1,0,0,3,2,0,3,0,0,28,31,18
